Data;Moderada
14/12/2023;0,00290
13/12/2023;0,00726
12/12/2023;0,00065
11/12/2023;-0,00001
08/12/2023;0,00138
07/12/2023;0,00069
06/12/2023;-0,00119
05/12/2023;0,00109
04/12/2023;-0,00269
01/12/2023;0,00255
30/11/2023;0,00212
29/11/2023;-0,00030
28/11/2023;0,00210
27/11/2023;0,00110
24/11/2023;-0,00089
23/11/2023;0,00108
22/11/2023;0,00137
21/11/2023;-0,00109
20/11/2023;0,00150
17/11/2023;0,00112
16/11/2023;0,00345
14/11/2023;0,00661
13/11/2023;-0,00067
10/11/2023;0,00281
09/11/2023;-0,00053
08/11/2023;0,00070
07/11/2023;0,00275
06/11/2023;-0,00066
03/11/2023;0,00615
01/11/2023;0,00426
31/10/2023;0,00091
30/10/2023;-0,00245
27/10/2023;-0,00304
26/10/2023;0,00576
25/10/2023;-0,00133
24/10/2023;0,00249
23/10/2023;-0,00029
20/10/2023;0,00019
19/10/2023;-0,00187
18/10/2023;-0,00251
17/10/2023;-0,00202
16/10/2023;0,00204
13/10/2023;-0,00260
11/10/2023;0,00007
10/10/2023;0,00318
09/10/2023;0,00331
06/10/2023;0,00220
05/10/2023;-0,00051
04/10/2023;0,00131
03/10/2023;-0,00422
02/10/2023;-0,00362
29/09/2023;0,00297
28/09/2023;0,00368
27/09/2023;-0,00082
26/09/2023;-0,00550
25/09/2023;-0,00092
22/09/2023;-0,00001
21/09/2023;-0,00354
20/09/2023;0,00178
19/09/2023;-0,00086
18/09/2023;-0,00081
15/09/2023;-0,00141
14/09/2023;0,00229
13/09/2023;0,00096
12/09/2023;0,00254
11/09/2023;0,00275
08/09/2023;-0,00015
06/09/2023;-0,00172
05/09/2023;-0,00123
04/09/2023;-0,00027
01/09/2023;0,00328
31/08/2023;-0,00438
30/08/2023;-0,00149
29/08/2023;0,00266
28/08/2023;0,00210
25/08/2023;-0,00209
24/08/2023;-0,00158
23/08/2023;0,00419
22/08/2023;0,00264
21/08/2023;-0,00252
18/08/2023;0,00068
17/08/2023;-0,00161
16/08/2023;-0,00064
15/08/2023;-0,00056
14/08/2023;-0,00254
11/08/2023;0,00010
10/08/2023;0,00056
09/08/2023;-0,00059
08/08/2023;0,00131
07/08/2023;-0,00031
04/08/2023;-0,00040
03/08/2023;0,00036
02/08/2023;0,00011
01/08/2023;-0,00083
31/07/2023;0,00379
28/07/2023;0,00122
27/07/2023;-0,00354
26/07/2023;0,00153
25/07/2023;0,00125
24/07/2023;0,00229
21/07/2023;0,00448
20/07/2023;0,00069
19/07/2023;-0,00017
18/07/2023;0,00093
17/07/2023;0,00155
14/07/2023;-0,00295
13/07/2023;0,00244
12/07/2023;0,00087
11/07/2023;0,00009
10/07/2023;-0,00207
07/07/2023;0,00387
06/07/2023;-0,00381
05/07/2023;0,00040
04/07/2023;-0,00163
03/07/2023;0,00304
30/06/2023;0,00214
29/06/2023;0,00339
28/06/2023;-0,00145
27/06/2023;-0,00136
26/06/2023;-0,00064
23/06/2023;0,00115
22/06/2023;-0,00183
21/06/2023;0,00217
20/06/2023;0,00017
19/06/2023;0,00177
16/06/2023;0,00015
15/06/2023;0,00106
14/06/2023;0,00485
13/06/2023;-0,00209
12/06/2023;0,00037
09/06/2023;0,00336
07/06/2023;-0,00006
06/06/2023;0,00365
05/06/2023;0,00184
02/06/2023;0,00404
01/06/2023;0,00399
31/05/2023;-0,00086
30/05/2023;-0,00131
29/05/2023;-0,00044
26/05/2023;0,00181
25/05/2023;0,00308
24/05/2023;-0,00078
23/05/2023;0,00032
22/05/2023;-0,00099
19/05/2023;0,00133
18/05/2023;0,00082
17/05/2023;0,00208
16/05/2023;-0,00184
15/05/2023;0,00209
12/05/2023;0,00173
11/05/2023;0,00250
10/05/2023;0,00175
09/05/2023;0,00164
08/05/2023;0,00102
05/05/2023;0,00534
04/05/2023;0,00213
03/05/2023;0,00091
02/05/2023;-0,00362
28/04/2023;0,00191
27/04/2023;0,00147
26/04/2023;-0,00049
25/04/2023;-0,00002
24/04/2023;0,00034
20/04/2023;0,00212
19/04/2023;-0,00432
18/04/2023;-0,00003
